tweetMentah,,
""" @gojekindonesia selamat malam Gojek, boleh minta bantuannya unt tgl 17feb transaksi saya pada pagi hari ke kfc.. karna akan",//t.,"co/08UAoyq7ZA"""
"""Harga gojek, gocar skrg udah Naik. Balik lagi dah Naik angkot dkk @gojekindonesia""",vYK7,kWvB
@gojek_jkt_0715 @DriverGojekPro @YoGojekYo @ojekmiring Oo gitu ya bang.. berarti klo tukang menan yg dpn sd itu udh https://t,,
""" @gojekindonesia Ok. Saran saja tolong diperbaiki sistem di gojek karena data pengguna dan saya menerima sms dari """"g  https:",.co/,LJJeFacFL6
@gojekindonesia gojek skrg paling mahal diantara 3 online motor taxi yg ada dsini. Pake gopay pun ga bikin ... https://t.co/rc,,
@NS_jkt @GojekJekarda Hehehehe....gosend RS cikini-bintaro sektor 9 aja gua sikat bang,,
@gojekindonesia Kak nanya donk.. Kalo kita ngasih lebih kepada driver..?? Apakah itu uang kelebihannya harus di set https://t,//t.,"co/d4mBqU9EjU"""
"""@herrysw Gojek kan pastinya punya data driver lengkap sama alamat, ktp, harusnya bisalah diusut @gojekindonesia""",://t,".co/HwNcNnRi3s"""
"""@gojekindonesia halo min, apakah gojek buka lowongan magang anak smk? Jurusan saya Teknik Komputer Jaringan.""",irma,"si nya"""
""" @gojekindonesia saya order go food pake go pay, tiba"""" orderan saya hilang, dan gopay saya terpotong.. pak gojek sam  https:",.co/,gfg56KsFj9
""" @NS_jkt @GojekJekarda Ada sih tips klo kena tilang ganjil genap di jkt bilang aja """"sesama keluarga TB"""" tp paling di  https",,
"""@gojekindonesia pagi Gojek, 2 hari yg lalu saya melakukan tarik tunai di gopay, tapi hingga saat ini belum masuk. Tolong konf",co/q,z5kqD6rxS
@gojek_jkt_0715 Abang bukannya main polos? Kalau masih dapat jarak segitu berarti masih kurang Moncer tuh akun ban  https://t,/t.c,"o/8XUbPOWhOw"""
@gojek_jkt_0715 *mau ga mau yaa bubar*,,
@gojekindonesia bln januari sudah mendapat sms verifikasi setelah pendaftaran gojek. kode verifikasi hilang karena https://t.,,
""" @gojekindonesia barusan saya dapet telpon dari nomor ini, ngaku dari gojek bilang saya dpt 2jt dlm rangka ultah goj  https:/",co/g,fg56KsFj9
